elapsed (s);x-axis (g);y-axis (g);z-axis (g)
2.450;-0.019;-0.068;1.029
2.460;-0.020;-0.063;1.027
2.470;-0.022;-0.066;1.026
2.480;-0.021;-0.070;1.021
2.490;-0.021;-0.067;1.021
2.500;-0.018;-0.069;1.020
2.510;-0.016;-0.072;1.015
2.520;-0.017;-0.070;1.019
2.530;-0.018;-0.075;1.018
2.540;-0.018;-0.072;1.015
2.550;-0.019;-0.070;1.018
2.560;-0.015;-0.068;1.018
2.570;-0.014;-0.069;1.018
2.580;-0.015;-0.070;1.020
2.590;-0.015;-0.068;1.022
2.600;-0.016;-0.065;1.022
2.610;-0.014;-0.065;1.025
2.620;-0.013;-0.065;1.022
2.630;-0.013;-0.066;1.018
2.640;-0.012;-0.071;1.017
2.650;-0.012;-0.074;1.014
2.660;-0.011;-0.075;1.009
2.670;-0.010;-0.077;1.008
2.680;-0.010;-0.077;1.008
2.690;-0.012;-0.075;1.010
2.700;-0.010;-0.074;1.010
2.710;-0.009;-0.077;1.012
2.720;-0.012;-0.074;1.017
2.730;-0.011;-0.071;1.017
2.740;-0.012;-0.074;1.016
2.750;-0.013;-0.070;1.014
2.760;-0.012;-0.070;1.019
2.770;-0.013;-0.071;1.018
2.780;-0.018;-0.072;1.013
2.790;-0.018;-0.072;1.014
2.800;-0.018;-0.073;1.010
2.810;-0.019;-0.070;1.013
2.820;-0.019;-0.068;1.013
2.830;-0.019;-0.069;1.016
2.840;-0.018;-0.066;1.017
2.850;-0.018;-0.065;1.019
2.860;-0.019;-0.065;1.022
2.870;-0.020;-0.063;1.026
2.880;-0.021;-0.069;1.022
2.890;-0.019;-0.070;1.021
2.900;-0.018;-0.070;1.016
2.910;-0.016;-0.071;1.009
2.920;-0.018;-0.073;1.009
2.930;-0.015;-0.072;1.006
2.940;-0.016;-0.072;1.005
2.950;-0.016;-0.072;1.009
2.960;-0.014;-0.067;1.013
2.970;-0.011;-0.067;1.021
2.980;-0.012;-0.070;1.022
2.990;-0.014;-0.071;1.022
3.000;-0.015;-0.073;1.022
3.010;-0.018;-0.079;1.018
3.020;-0.025;-0.077;1.013
3.030;-0.027;-0.081;1.012
3.040;-0.029;-0.079;1.010
3.050;-0.032;-0.074;1.012
3.060;-0.033;-0.074;1.015
3.070;-0.034;-0.074;1.016
3.080;-0.033;-0.070;1.018
3.090;-0.035;-0.067;1.023
3.100;-0.036;-0.061;1.032
3.110;-0.030;-0.049;1.038
3.120;-0.030;-0.049;1.041
3.130;-0.026;-0.051;1.042
3.140;-0.023;-0.056;1.038
3.150;-0.021;-0.058;1.038
3.160;-0.017;-0.062;1.032
3.170;-0.017;-0.063;1.025
3.180;-0.019;-0.065;1.022
3.190;-0.015;-0.067;1.019
3.200;-0.014;-0.071;1.011
3.210;-0.016;-0.080;1.007
3.220;-0.014;-0.080;1.004
3.230;-0.014;-0.080;1.003
3.240;-0.015;-0.081;1.006
3.250;-0.016;-0.083;1.007
3.260;-0.018;-0.078;1.007
3.270;-0.022;-0.079;1.009
3.280;-0.025;-0.078;1.009
3.290;-0.024;-0.078;1.011
3.300;-0.021;-0.078;1.016
3.310;-0.021;-0.076;1.017
3.320;-0.026;-0.072;1.014
3.330;-0.021;-0.071;1.017
3.340;-0.019;-0.067;1.019
3.350;-0.018;-0.064;1.021
3.360;-0.020;-0.065;1.024
3.370;-0.020;-0.067;1.020
3.380;-0.020;-0.065;1.016
3.390;-0.023;-0.063;1.017
3.400;-0.027;-0.063;1.015
3.410;-0.027;-0.063;1.014
3.420;-0.028;-0.065;1.009
3.430;-0.026;-0.066;1.008
3.440;-0.028;-0.068;1.012
3.450;-0.027;-0.066;1.016
3.460;-0.027;-0.065;1.017
3.470;-0.027;-0.066;1.015
3.480;-0.032;-0.064;1.016
3.490;-0.033;-0.062;1.018
3.500;-0.035;-0.064;1.013
3.510;-0.038;-0.065;1.012
3.520;-0.037;-0.069;1.011
3.530;-0.035;-0.065;1.012
3.540;-0.033;-0.060;1.017
3.550;-0.033;-0.061;1.022
3.560;-0.030;-0.061;1.023
3.570;-0.030;-0.061;1.022
3.580;-0.030;-0.059;1.027
3.590;-0.030;-0.057;1.026
3.600;-0.031;-0.060;1.029
3.610;-0.025;-0.063;1.031
3.620;-0.024;-0.063;1.026
3.630;-0.022;-0.064;1.023
3.640;-0.022;-0.065;1.022
3.650;-0.025;-0.063;1.023
3.660;-0.025;-0.067;1.018
3.670;-0.018;-0.065;1.022
3.680;-0.021;-0.063;1.023
3.690;-0.020;-0.064;1.027
3.700;-0.024;-0.062;1.029
3.710;-0.027;-0.062;1.025
